Designator,Mid X,Mid Y,Layer,Rotation
C25, 0.00,-5.71,Top,90.0
C26,13.20, 7.62,Top,210.0
C27, 0.00,15.24,Top,270.0
C28,-13.20, 7.62,Top,330.0
C29,-13.20,-7.62,Top,30.0
C30, 0.00,-15.24,Top,90.0
C31,13.20,-7.62,Top,150.0
C32,22.00,12.70,Top,210.0
C33,12.70,22.00,Top,240.0
C34, 0.00,25.40,Top,270.0
C35,-12.70,22.00,Top,300.0
C36,-22.00,12.70,Top,330.0
C37,-22.00,-12.70,Top,30.0
C38,-12.70,-22.00,Top,60.0
C39, 0.00,-25.40,Top,90.0
C40,12.70,-22.00,Top,120.0
C41,22.00,-12.70,Top,150.0
C42,30.80,17.78,Top,210.0
C43,17.78,30.80,Top,240.0
C44, 0.00,35.56,Top,270.0
C45,-17.78,30.80,Top,300.0
C46,-30.80,17.78,Top,330.0
C47,-30.80,-17.78,Top,30.0
C48,-17.78,-30.80,Top,60.0
C49, 0.00,-35.56,Top,90.0
C50,17.78,-30.80,Top,120.0
C51,30.80,-17.78,Top,150.0
C52,39.59,22.86,Top,210.0
C53,22.86,39.59,Top,240.0
C54, 0.00,45.72,Top,270.0
C55,-22.86,39.59,Top,300.0
C56,-39.59,22.86,Top,330.0
C57,-39.59,-22.86,Top,30.0
C58,-22.86,-39.59,Top,60.0
C59, 0.00,-45.72,Top,90.0
C60,22.86,-39.59,Top,120.0
C61,39.59,-22.86,Top,150.0
C62,48.39,27.94,Top,210.0
C63,27.94,48.39,Top,240.0
C64, 0.00,55.88,Top,270.0
C65,-27.94,48.39,Top,300.0
C66,-48.39,27.94,Top,330.0
C67,-48.39,-27.94,Top,30.0
C68,-27.94,-48.39,Top,60.0
C69, 0.00,-55.88,Top,90.0
C70,27.94,-48.39,Top,120.0
C71,48.39,-27.94,Top,150.0
C72,57.19,33.02,Top,210.0
C73,33.02,57.19,Top,240.0
C74, 0.00,66.04,Top,270.0
C75,-33.02,57.19,Top,300.0
C76,-57.19,33.02,Top,330.0
C77,-57.19,-33.02,Top,30.0
C78,-33.02,-57.19,Top,60.0
C79, 0.00,-66.04,Top,90.0
C80,33.02,-57.19,Top,120.0
C81,57.19,-33.02,Top,150.0
C82,73.60,19.72,Top,195.0
C83,65.99,38.10,Top,210.0
C84,53.88,53.88,Top,225.0
C85,38.10,65.99,Top,240.0
C86,19.72,73.60,Top,255.0
C87, 0.00,76.20,Top,270.0
C88,-19.72,73.60,Top,285.0
C89,-38.10,65.99,Top,300.0
C90,-53.88,53.88,Top,315.0
C91,-65.99,38.10,Top,330.0
C92,-73.60,19.72,Top,345.0
C93,-73.60,-19.72,Top,15.0
C94,-65.99,-38.10,Top,30.0
C95,-53.88,-53.88,Top,45.0
C96,-38.10,-65.99,Top,60.0
C97,-19.72,-73.60,Top,75.0
C98, 0.00,-76.20,Top,90.0
C99,19.72,-73.60,Top,105.0
C100,38.10,-65.99,Top,120.0
C101,53.88,-53.88,Top,135.0
C102,65.99,-38.10,Top,150.0
C103,73.60,-19.72,Top,165.0
C104,83.42,22.35,Top,195.0
C105,74.79,43.18,Top,210.0
C106,61.07,61.07,Top,225.0
C107,43.18,74.79,Top,240.0
C108,22.35,83.42,Top,255.0
C109, 0.00,86.36,Top,270.0
C110,-22.35,83.42,Top,285.0
C111,-43.18,74.79,Top,300.0
C112,-61.07,61.07,Top,315.0
C113,-74.79,43.18,Top,330.0
C114,-83.42,22.35,Top,345.0
C115,-83.42,-22.35,Top,15.0
C116,-74.79,-43.18,Top,30.0
C117,-61.07,-61.07,Top,45.0
C118,-43.18,-74.79,Top,60.0
C119,-22.35,-83.42,Top,75.0
C120, 0.00,-86.36,Top,90.0
C121,22.35,-83.42,Top,105.0
C122,43.18,-74.79,Top,120.0
C123,61.07,-61.07,Top,135.0
C124,74.79,-43.18,Top,150.0
C125,83.42,-22.35,Top,165.0
C126,93.23,24.98,Top,195.0
C127,83.59,48.26,Top,210.0
C128,68.25,68.25,Top,225.0
C129,48.26,83.59,Top,240.0
C130,24.98,93.23,Top,255.0
C131, 0.00,96.52,Top,270.0
C132,-24.98,93.23,Top,285.0
C133,-48.26,83.59,Top,300.0
C134,-68.25,68.25,Top,315.0
C135,-83.59,48.26,Top,330.0
C136,-93.23,24.98,Top,345.0
C137,-93.23,-24.98,Top,15.0
C138,-83.59,-48.26,Top,30.0
C139,-68.25,-68.25,Top,45.0
C140,-48.26,-83.59,Top,60.0
C141,-24.98,-93.23,Top,75.0
C142, 0.00,-96.52,Top,90.0
C143,24.98,-93.23,Top,105.0
C144,48.26,-83.59,Top,120.0
C145,68.25,-68.25,Top,135.0
C146,83.59,-48.26,Top,150.0
C147,93.23,-24.98,Top,165.0
C148,103.04,27.61,Top,195.0
C149,92.39,53.34,Top,210.0
C150,75.43,75.43,Top,225.0
C151,53.34,92.39,Top,240.0
C152,27.61,103.04,Top,255.0
C153, 0.00,106.68,Top,270.0
C154,-27.61,103.04,Top,285.0
C155,-53.34,92.39,Top,300.0
C156,-75.43,75.43,Top,315.0
C157,-92.39,53.34,Top,330.0
C158,-103.04,27.61,Top,345.0
C159,-103.04,-27.61,Top,15.0
C160,-92.39,-53.34,Top,30.0
C161,-75.43,-75.43,Top,45.0
C162,-53.34,-92.39,Top,60.0
C163,-27.61,-103.04,Top,75.0
C164, 0.00,-106.68,Top,90.0
C165,27.61,-103.04,Top,105.0
C166,53.34,-92.39,Top,120.0
C167,75.43,-75.43,Top,135.0
C168,92.39,-53.34,Top,150.0
C169,103.04,-27.61,Top,165.0
D1, 0.00, 0.00,Top,270.0
D2,10.16, 0.00,Top,90.0
D3, 5.08, 8.80,Top,150.0
D4,-5.08, 8.80,Top,210.0
D5,-10.16, 0.00,Top,270.0
D6,-5.08,-8.80,Top,330.0
D7, 5.08,-8.80,Top,30.0
D8,20.32, 0.00,Top,90.0
D9,17.60,10.16,Top,120.0
D10,10.16,17.60,Top,150.0
D11, 0.00,20.32,Top,180.0
D12,-10.16,17.60,Top,210.0
D13,-17.60,10.16,Top,240.0
D14,-20.32, 0.00,Top,270.0
D15,-17.60,-10.16,Top,300.0
D16,-10.16,-17.60,Top,330.0
D17, 0.00,-20.32,Top,0.0
D18,10.16,-17.60,Top,30.0
D19,17.60,-10.16,Top,60.0
D20,30.48, 0.00,Top,90.0
D21,28.64,10.42,Top,110.0
D22,23.35,19.59,Top,130.0
D23,15.24,26.40,Top,150.0
D24, 5.29,30.02,Top,170.0
D25,-5.29,30.02,Top,190.0
D26,-15.24,26.40,Top,210.0
D27,-23.35,19.59,Top,230.0
D28,-28.64,10.42,Top,250.0
D29,-30.48, 0.00,Top,270.0
D30,-28.64,-10.42,Top,290.0
D31,-23.35,-19.59,Top,310.0
D32,-15.24,-26.40,Top,330.0
D33,-5.29,-30.02,Top,350.0
D34, 5.29,-30.02,Top,10.0
D35,15.24,-26.40,Top,30.0
D36,23.35,-19.59,Top,50.0
D37,28.64,-10.42,Top,70.0
D38,40.64, 0.00,Top,90.0
D39,39.26,10.52,Top,105.0
D40,35.20,20.32,Top,120.0
D41,28.74,28.74,Top,135.0
D42,20.32,35.20,Top,150.0
D43,10.52,39.26,Top,165.0
D44, 0.00,40.64,Top,180.0
D45,-10.52,39.26,Top,195.0
D46,-20.32,35.20,Top,210.0
D47,-28.74,28.74,Top,225.0
D48,-35.20,20.32,Top,240.0
D49,-39.26,10.52,Top,255.0
D50,-40.64, 0.00,Top,270.0
D51,-39.26,-10.52,Top,285.0
